NutNet_Litter_Bag_No,String,Init_Litter_Mass_g,Site_Text,Trt,Date_Sent,Date_Deployed,Collection_Date,Lab_Arrival_Date,Days_Since_Deployment,Fin_Litter_Mass_g,Prop_Init_Mass,Notes,Carbon_Perc,Nitrogen_perc,Carbon_Rerun_Perc,Nitrogen_Rerun_Perc,Carbon_Used_Perc,Nitrogen_Used_Perc,Init_Crucible_Mass_g,Crucible_Plus_Sample_g,Ashed_Crucible_Sample_g,Initial_Ashed_Sample_Mass_g,Ash_Mass_g,Perc_AFDM,Perc_C_pred_from_AFDM,Init_C_Mass_g,Plot,Fin_C_Mass_g,Prop_Init_C_Mass,Yrs_Since_Deployment,Harvest_No,Init_N_Mass_g,Fin_N_Mass_g,Prop_Init_N_Mass,
5032,25,9.994,Bogong High Plains ,NP,11/25/09,1/20/10,1/20/11,3/14/11,365,7.79,0.7795,,49.894,1.202,,,49.894,1.202,17.186,17.638,17.217,0.452,0.031,93.14159292,47.50222979,4.83389792,25,3.8867426,0.804059718,1,1,0.09264438,0.0936358,1.010701351,
5039,26,9.999,Bogong High Plains ,Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.81,0.7811,,51.278,1.14,,,51.278,1.14,17.158,17.588,17.181,0.43,0.023,94.65116279,48.25994586,4.83631632,26,4.0048118,0.828070692,1,1,0.09269073,0.089034,0.960549129,
5040,27,9.998,Bogong High Plains ,P,11/25/09,1/20/10,1/20/11,3/14/11,365,7.76,0.7762,,50.778,1.118,,,50.778,1.118,17.249,17.67,17.248,0.421,-0.001,100.2375297,51.06397636,4.83583264,27,3.9403728,0.814828199,1,1,0.09268146,0.0867568,0.936075025,
5047,28,10,Bogong High Plains ,NPK+Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.73,0.773,,50.101,1.259,,,50.101,1.259,17.701,18.147,17.735,0.446,0.034,92.37668161,47.11828891,4.8368,28,3.8728073,0.800696183,1,1,0.0927,0.0973207,1.049845739,
5054,29,10.004,Bogong High Plains ,PK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.78,0.7777,,51.234,1.07,,,51.234,1.07,17.705,18.107,17.73,0.402,0.025,93.78109453,47.82322231,4.83873472,29,3.9860052,0.823770145,1,1,0.09273708,0.083246,0.89765604,
5061,30,10.006,Bogong High Plains ,NK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.85,0.7845,,50.237,1.174,,,50.237,1.174,17.157,17.549,17.18,0.392,0.023,94.13265306,47.9996842,4.83970208,30,3.9436045,0.814844475,1,1,0.09275562,0.092159,0.993567829,
4864,1,10.007,Bogong High Plains ,N,11/25/09,1/20/10,1/18/12,3/13/12,728,6.23,0.6226,,45.365,1.624,,,45.365,1.624,17.329,17.622,17.354,0.293,0.025,91.46757679,46.66197129,4.84018576,1,2.8262395,0.58391137,1.995,2,0.09276489,0.1011752,1.090662642,
4870,2,10.009,Bogong High Plains ,PK,11/25/09,1/20/10,1/18/12,3/13/12,728,6.17,0.6164,,49.615,1.493,,,49.615,1.493,17.501,17.861,17.527,0.36,0.026,92.77777778,47.3196158,4.84115312,2,3.0612455,0.632338086,1.995,2,0.09278343,0.0921181,0.992829215,
4877,3,10.001,Bogong High Plains ,Control,11/25/09,1/20/10,1/18/12,3/13/12,728,6.89,0.6889,,46.843,1.421,,,46.843,1.421,17.686,18.055,17.713,0.369,0.027,92.68292683,47.27200615,4.83728368,3,3.2274827,0.667209722,1.995,2,0.09270927,0.0979069,1.056063757,
4885,4,10.009,Bogong High Plains ,Fence,11/25/09,1/20/10,1/18/12,3/13/12,728,6.62,0.6614,,48.255,1.539,,,48.255,1.539,17.393,17.746,17.413,0.353,0.02,94.33427762,48.10088798,4.84115312,4,3.194481,0.659859525,1.995,2,0.09278343,0.1018818,1.098060289,
4891,5,9.997,Bogong High Plains ,NPK,11/25/09,1/20/10,1/18/12,3/13/12,728,4.71,0.4711,,47.322,1.643,,,47.322,1.643,17.4,17.785,17.431,0.385,0.031,91.94805195,46.90314181,4.83534896,5,2.2288662,0.460952502,1.995,2,0.09267219,0.0773853,0.835043393,
4893,6,10.009,Bogong High Plains ,NK,11/25/09,1/20/10,1/18/12,3/13/12,728,6.65,0.6644,,48.272,1.575,,,48.272,1.575,17.345,17.731,17.372,0.386,0.027,93.00518135,47.43375913,4.84115312,6,3.210088,0.663083344,1.995,2,0.09278343,0.1047375,1.128838414,
4901,7,10.001,Bogong High Plains ,K,11/25/09,1/20/10,1/18/12,3/13/12,728,7.01,0.7009,,47.902,1.334,,,47.902,1.334,17.843,18.174,17.868,0.331,0.025,92.44712991,47.15364985,4.83728368,7,3.3579302,0.694176819,1.995,2,0.09270927,0.0935134,1.008673674,
4913,8,10.003,Bogong High Plains ,NP,11/25/09,1/20/10,1/18/12,3/13/12,728,6.86,0.6858,,46.73,1.796,,,46.73,1.796,17.705,18.063,17.733,0.358,0.028,92.17877095,47.01894929,4.83825104,8,3.205678,0.662569588,1.995,2,0.09272781,0.1232056,1.328680145,
4919,9,10.007,Bogong High Plains ,NPK+Fence,11/25/09,1/20/10,1/18/12,3/13/12,728,6.59,0.6585,,48.653,1.693,,,48.653,1.693,17.158,17.512,17.18,0.354,0.022,93.78531073,47.82533861,4.84018576,9,3.2062327,0.662419349,1.995,2,0.09276489,0.1115687,1.202703954,
4926,10,9.999,Bogong High Plains ,P,11/25/09,1/20/10,1/18/12,3/13/12,728,6.95,0.6951,,48.628,1.469,,,48.628,1.469,17.796,18.23,17.875,0.434,0.079,81.79723502,41.8080235,4.83631632,10,3.379646,0.698805822,1.995,2,0.09269073,0.1020955,1.101463976,
4933,11,10.005,Bogong High Plains ,Control,11/25/09,1/20/10,1/18/12,3/13/12,728,7.24,0.7236,,46.049,1.408,,,46.049,1.408,17.409,17.812,17.451,0.403,0.042,89.57816377,45.71359611,4.8392184,11,3.3339476,0.688943405,1.995,2,0.09274635,0.1019392,1.099118186,
4935,12,9.992,Bogong High Plains ,PK,11/25/09,1/20/10,1/18/12,3/13/12,728,6.38,0.6385,,48.239,1.401,,,48.239,1.401,17.199,17.512,17.217,0.313,0.018,94.24920128,48.05818461,4.83293056,12,3.0776482,0.636807867,1.995,2,0.09262584,0.0893838,0.964998536,
4942,13,10.005,Bogong High Plains ,P,11/25/09,1/20/10,1/18/12,3/13/12,728,6.72,0.6717,,46.24,1.503,,,46.24,1.503,17.689,18.07,17.727,0.381,0.038,90.02624672,45.93850762,4.8392184,13,3.107328,0.642113611,1.995,2,0.09274635,0.1010016,1.089008894,
4950,14,10.001,Bogong High Plains ,NP,11/25/09,1/20/10,1/18/12,3/13/12,728,6.68,0.6679,One small hole in bag ~ 1cm diameter,48.727,1.489,,,48.727,1.489,16.958,17.278,16.978,0.32,0.02,93.75,47.80761467,4.83728368,14,3.2549636,0.672890782,1.995,2,0.09270927,0.0994652,1.072872217,
4961,15,9.997,Bogong High Plains ,NPK,11/25/09,1/20/10,1/18/12,3/13/12,728,6.67,0.6672,,43.94,1.529,,,43.94,1.529,17.31,17.638,17.338,0.328,0.028,91.46341463,46.65988213,4.83534896,15,2.930798,0.606119232,1.995,2,0.09267219,0.1019843,1.100484406,
4968,16,10.005,Bogong High Plains ,NPK+Fence,11/25/09,1/20/10,1/18/12,3/13/12,728,6.63,0.6627,Three small holes in bag - each less than 1cm diameter,46.145,1.868,,,46.145,1.868,17.324,17.742,17.369,0.418,0.045,89.23444976,45.54107171,4.8392184,16,3.0594135,0.632212322,1.995,2,0.09274635,0.1238484,1.335345272,
4970,17,10.001,Bogong High Plains ,Fence,11/25/09,1/20/10,1/18/12,3/13/12,728,6.48,0.6479,,47.21,1.541,,,47.21,1.541,17.726,18.128,17.765,0.402,0.039,90.29850746,46.07516664,4.83728368,17,3.059208,0.632422699,1.995,2,0.09270927,0.0998568,1.077096174,
4983,18,9.996,Bogong High Plains ,NK,11/25/09,1/20/10,1/18/12,3/13/12,728,6.31,0.6313,Three small holes in bag - each less than 1cm diameter,46.498,2.041,,,46.498,2.041,17.288,17.645,17.325,0.357,0.037,89.63585434,45.74255341,4.83486528,18,2.9340238,0.606847064,1.995,2,0.09266292,0.1287871,1.389845043,
4985,19,10.009,Bogong High Plains ,N,11/25/09,1/20/10,1/18/12,3/13/12,728,8.12,0.8113,,31.98,1.387,,,31.98,1.387,17.959,18.357,18.072,0.398,0.113,71.6080402,36.69364173,4.84115312,19,2.596776,0.536396172,1.995,2,0.09278343,0.1126244,1.213841739,
